benchmark,solver,score
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_181.smt2,z3::z3_bv_default,0.006
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_181.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_237.smt2,cvc5::cvc5_bv_default,0.035
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_237.smt2,cvc5::cvc5_bv_eager,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_237.smt2,z3::z3_bv_default,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_237.smt2,z3::z3_bv_eager,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_294.smt2,cvc5::cvc5_bv_default,0.03
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_294.smt2,cvc5::cvc5_bv_eager,0.012
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_294.smt2,z3::z3_bv_default,0.026
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_294.smt2,z3::z3_bv_eager,0.028
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_298.smt2,cvc5::cvc5_bv_default,0.052
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_298.smt2,cvc5::cvc5_bv_eager,0.017
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_298.smt2,z3::z3_bv_default,0.01
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_298.smt2,z3::z3_bv_eager,0.013
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_363.smt2,cvc5::cvc5_bv_default,0.045
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_363.smt2,cvc5::cvc5_bv_eager,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_363.smt2,z3::z3_bv_default,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_363.smt2,z3::z3_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_396.smt2,cvc5::cvc5_bv_default,0.038
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_396.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_396.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_396.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_421.smt2,cvc5::cvc5_bv_default,0.036
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_421.smt2,cvc5::cvc5_bv_eager,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_421.smt2,z3::z3_bv_default,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_421.smt2,z3::z3_bv_eager,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_437.smt2,cvc5::cvc5_bv_default,0.058
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_437.smt2,cvc5::cvc5_bv_eager,0.018
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_437.smt2,z3::z3_bv_default,0.01
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_437.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_494.smt2,cvc5::cvc5_bv_default,0.042
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_494.smt2,cvc5::cvc5_bv_eager,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_494.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_494.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_496.smt2,cvc5::cvc5_bv_default,0.038
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_496.smt2,cvc5::cvc5_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_496.smt2,z3::z3_bv_default,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_496.smt2,z3::z3_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_593.smt2,cvc5::cvc5_bv_default,0.038
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_593.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_593.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_593.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_631.smt2,cvc5::cvc5_bv_default,0.037
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_631.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_631.smt2,z3::z3_bv_default,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_631.smt2,z3::z3_bv_eager,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_652.smt2,cvc5::cvc5_bv_default,0.048
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_652.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_652.smt2,z3::z3_bv_default,0.006
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_652.smt2,z3::z3_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_795.smt2,cvc5::cvc5_bv_default,0.047
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_795.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_795.smt2,z3::z3_bv_default,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_795.smt2,z3::z3_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_913.smt2,cvc5::cvc5_bv_default,0.035
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_913.smt2,cvc5::cvc5_bv_eager,0.006
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_913.smt2,z3::z3_bv_default,0.011
