benchmark,solver,score
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i22.26c1368b.smt2,cvc5::cvc5_bv_default,0.044
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i22.26c1368b.smt2,cvc5::cvc5_bv_eager,0.011
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i22.26c1368b.smt2,z3::z3_bv_default,0.032
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i22.26c1368b.smt2,z3::z3_bv_eager,0.016
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i23.2b2d584a.smt2,cvc5::cvc5_bv_default,0.068
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i23.2b2d584a.smt2,cvc5::cvc5_bv_eager,0.041
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i23.2b2d584a.smt2,z3::z3_bv_default,0.055
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i23.2b2d584a.smt2,z3::z3_bv_eager,0.046
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i24.f5938c30.smt2,cvc5::cvc5_bv_default,0.043
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i24.f5938c30.smt2,cvc5::cvc5_bv_eager,0.01
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i24.f5938c30.smt2,z3::z3_bv_default,0.026
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i24.f5938c30.smt2,z3::z3_bv_eager,0.014
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i27.8b2c9382.smt2,cvc5::cvc5_bv_default,0.08
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i27.8b2c9382.smt2,cvc5::cvc5_bv_eager,0.052
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i27.8b2c9382.smt2,z3::z3_bv_default,0.064
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i27.8b2c9382.smt2,z3::z3_bv_eager,0.049
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.ab853e6e.smt2,cvc5::cvc5_bv_default,0.068
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.ab853e6e.smt2,cvc5::cvc5_bv_eager,0.038
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.ab853e6e.smt2,z3::z3_bv_default,0.05
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.ab853e6e.smt2,z3::z3_bv_eager,0.045
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.d2a3f686.smt2,cvc5::cvc5_bv_default,0.066
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.d2a3f686.smt2,cvc5::cvc5_bv_eager,0.033
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.d2a3f686.smt2,z3::z3_bv_default,0.061
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i31.d2a3f686.smt2,z3::z3_bv_eager,0.037
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i32.2e123b56.smt2,cvc5::cvc5_bv_default,0.041
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i32.2e123b56.smt2,cvc5::cvc5_bv_eager,0.008
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i32.2e123b56.smt2,z3::z3_bv_default,0.037
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i32.2e123b56.smt2,z3::z3_bv_eager,0.013
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i34.488c0590.smt2,cvc5::cvc5_bv_default,0.065
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i34.488c0590.smt2,cvc5::cvc5_bv_eager,0.033
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i34.488c0590.smt2,z3::z3_bv_default,0.048
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i34.488c0590.smt2,z3::z3_bv_eager,0.037
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i39.a0619d1f.smt2,cvc5::cvc5_bv_default,0.064
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i39.a0619d1f.smt2,cvc5::cvc5_bv_eager,0.032
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i39.a0619d1f.smt2,z3::z3_bv_default,0.047
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i39.a0619d1f.smt2,z3::z3_bv_eager,0.037
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i40.ff1613dd.smt2,cvc5::cvc5_bv_default,0.063
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i40.ff1613dd.smt2,cvc5::cvc5_bv_eager,0.031
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i40.ff1613dd.smt2,z3::z3_bv_default,0.061
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i40.ff1613dd.smt2,z3::z3_bv_eager,0.035
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i59.ee8bfec0.smt2,cvc5::cvc5_bv_default,0.043
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i59.ee8bfec0.smt2,cvc5::cvc5_bv_eager,0.011
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i59.ee8bfec0.smt2,z3::z3_bv_default,0.035
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i59.ee8bfec0.smt2,z3::z3_bv_eager,0.017
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i63.072b5d30.smt2,cvc5::cvc5_bv_default,0.045
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i63.072b5d30.smt2,cvc5::cvc5_bv_eager,0.012
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i63.072b5d30.smt2,z3::z3_bv_default,0.029
data/suite_500/QF_BV/20221012-MCMPC/millionaires.t1.i63.072b5d30.smt2,z3::z3_bv_eager,0.018
data/suite_500/QF_BV/20221012-MCMPC/simplemean.t1.i6.351a4d7f.smt2,cvc5::cvc5_bv_default,0.052
data/suite_500/QF_BV/20221012-MCMPC/simplemean.t1.i6.351a4d7f.smt2,cvc5::cvc5_bv_eager,0.02
data/suite_500/QF_BV/20221012-MCMPC/simplemean.t1.i6.351a4d7f.smt2,z3::z3_bv_default,0.033
data/suite_500/QF_BV/20221012-MCMPC/simplemean.t1.i6.351a4d7f.smt2,z3::z3_bv_eager,0.027
data/suite_500/QF_BV/20221012-MCMPC/sugarbeets.t1.i24.aceb45ad.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20221012-MCMPC/sugarbeets.t1.i24.aceb45ad.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20221012-MCMPC/sugarbeets.t1.i24.aceb45ad.smt2,z3::z3_bv_default,1.32
data/suite_500/QF_BV/20221012-MCMPC/sugarbeets.t1.i24.aceb45ad.smt2,z3::z3_bv_eager,1.291
data/suite_500/QF_BV/20221012-MCMPC/wage.t1.i28.0317f095.smt2,cvc5::cvc5_bv_default,0.157
data/suite_500/QF_BV/20221012-MCMPC/wage.t1.i28.0317f095.smt2,cvc5::cvc5_bv_eager,0.127
data/suite_500/QF_BV/20221012-MCMPC/wage.t1.i28.0317f095.smt2,z3::z3_bv_default,0.055
data/suite_500/QF_BV/20221012-MCMPC/wage.t1.i28.0317f095.smt2,z3::z3_bv_eager,0.04
data/suite_500/QF_BV/20221012-MCMPC/wage_circuit_div.t1.i30.9b49676c.smt2,cvc5::cvc5_bv_default,0.047
data/suite_500/QF_BV/20221012-MCMPC/wage_circuit_div.t1.i30.9b49676c.smt2,cvc5::cvc5_bv_eager,0.014
data/suite_500/QF_BV/20221012-MCMPC/wage_circuit_div.t1.i30.9b49676c.smt2,z3::z3_bv_default,0.044
data/suite_500/QF_BV/20221012-MCMPC/wage_circuit_div.t1.i30.9b49676c.smt2,z3::z3_bv_eager,0.017
data/suite_500/QF_BV/Sage2/bench_10190.smt2,cvc5::cvc5_bv_default,8.744
data/suite_500/QF_BV/Sage2/bench_10190.smt2,cvc5::cvc5_bv_eager,8.763
data/suite_500/QF_BV/Sage2/bench_10190.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_10190.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_10357.smt2,cvc5::cvc5_bv_default,6.021
data/suite_500/QF_BV/Sage2/bench_10357.smt2,cvc5::cvc5_bv_eager,5.793
data/suite_500/QF_BV/Sage2/bench_10357.smt2,z3::z3_bv_default,2.391
data/suite_500/QF_BV/Sage2/bench_10357.smt2,z3::z3_bv_eager,2.428
data/suite_500/QF_BV/Sage2/bench_10606.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/Sage2/bench_10606.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_10606.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_10606.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_11670.smt2,cvc5::cvc5_bv_default,8.824
data/suite_500/QF_BV/Sage2/bench_11670.smt2,cvc5::cvc5_bv_eager,8.763
data/suite_500/QF_BV/Sage2/bench_11670.smt2,z3::z3_bv_default,0.097
data/suite_500/QF_BV/Sage2/bench_11670.smt2,z3::z3_bv_eager,0.106
data/suite_500/QF_BV/Sage2/bench_12560.smt2,cvc5::cvc5_bv_default,26.015
data/suite_500/QF_BV/Sage2/bench_12560.smt2,cvc5::cvc5_bv_eager,25.89
data/suite_500/QF_BV/Sage2/bench_12560.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_12560.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_13236.smt2,cvc5::cvc5_bv_default,30.924
data/suite_500/QF_BV/Sage2/bench_13236.smt2,cvc5::cvc5_bv_eager,32.549
data/suite_500/QF_BV/Sage2/bench_13236.smt2,z3::z3_bv_default,14.854
data/suite_500/QF_BV/Sage2/bench_13236.smt2,z3::z3_bv_eager,14.822
data/suite_500/QF_BV/Sage2/bench_14307.smt2,cvc5::cvc5_bv_default,6.095
data/suite_500/QF_BV/Sage2/bench_14307.smt2,cvc5::cvc5_bv_eager,6.546
data/suite_500/QF_BV/Sage2/bench_14307.smt2,z3::z3_bv_default,2.026
data/suite_500/QF_BV/Sage2/bench_14307.smt2,z3::z3_bv_eager,2.497
data/suite_500/QF_BV/Sage2/bench_14875.smt2,cvc5::cvc5_bv_default,1.716
data/suite_500/QF_BV/Sage2/bench_14875.smt2,cvc5::cvc5_bv_eager,1.795
data/suite_500/QF_BV/Sage2/bench_14875.smt2,z3::z3_bv_default,1.109
data/suite_500/QF_BV/Sage2/bench_14875.smt2,z3::z3_bv_eager,1.105
data/suite_500/QF_BV/Sage2/bench_14914.smt2,cvc5::cvc5_bv_default,24.84
data/suite_500/QF_BV/Sage2/bench_14914.smt2,cvc5::cvc5_bv_eager,23.528
data/suite_500/QF_BV/Sage2/bench_14914.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_14914.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_15268.smt2,cvc5::cvc5_bv_default,4.17
data/suite_500/QF_BV/Sage2/bench_15268.smt2,cvc5::cvc5_bv_eager,4.185
data/suite_500/QF_BV/Sage2/bench_15268.smt2,z3::z3_bv_default,1.133
data/suite_500/QF_BV/Sage2/bench_15268.smt2,z3::z3_bv_eager,1.119
data/suite_500/QF_BV/Sage2/bench_15631.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/Sage2/bench_15631.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_15631.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_15631.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_15975.smt2,cvc5::cvc5_bv_default,0.939
data/suite_500/QF_BV/Sage2/bench_15975.smt2,cvc5::cvc5_bv_eager,0.912
data/suite_500/QF_BV/Sage2/bench_15975.smt2,z3::z3_bv_default,3.979
data/suite_500/QF_BV/Sage2/bench_15975.smt2,z3::z3_bv_eager,3.93
data/suite_500/QF_BV/Sage2/bench_17891.smt2,cvc5::cvc5_bv_default,3.979
data/suite_500/QF_BV/Sage2/bench_17891.smt2,cvc5::cvc5_bv_eager,3.929
data/suite_500/QF_BV/Sage2/bench_17891.smt2,z3::z3_bv_default,9.141
data/suite_500/QF_BV/Sage2/bench_17891.smt2,z3::z3_bv_eager,9.294
data/suite_500/QF_BV/Sage2/bench_2117.smt2,cvc5::cvc5_bv_default,2.604
data/suite_500/QF_BV/Sage2/bench_2117.smt2,cvc5::cvc5_bv_eager,2.525
data/suite_500/QF_BV/Sage2/bench_2117.smt2,z3::z3_bv_default,7.496
data/suite_500/QF_BV/Sage2/bench_2117.smt2,z3::z3_bv_eager,8.597
data/suite_500/QF_BV/Sage2/bench_2578.smt2,cvc5::cvc5_bv_default,0.464
data/suite_500/QF_BV/Sage2/bench_2578.smt2,cvc5::cvc5_bv_eager,0.462
data/suite_500/QF_BV/Sage2/bench_2578.smt2,z3::z3_bv_default,1.034
data/suite_500/QF_BV/Sage2/bench_2578.smt2,z3::z3_bv_eager,1.035
data/suite_500/QF_BV/Sage2/bench_2616.smt2,cvc5::cvc5_bv_default,57.242
data/suite_500/QF_BV/Sage2/bench_2616.smt2,cvc5::cvc5_bv_eager,58.552
data/suite_500/QF_BV/Sage2/bench_2616.smt2,z3::z3_bv_default,8.171
data/suite_500/QF_BV/Sage2/bench_2616.smt2,z3::z3_bv_eager,8.765
data/suite_500/QF_BV/Sage2/bench_2653.smt2,cvc5::cvc5_bv_default,40.735
data/suite_500/QF_BV/Sage2/bench_2653.smt2,cvc5::cvc5_bv_eager,37.417
data/suite_500/QF_BV/Sage2/bench_2653.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_2653.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_3397.smt2,cvc5::cvc5_bv_default,1.339
data/suite_500/QF_BV/Sage2/bench_3397.smt2,cvc5::cvc5_bv_eager,1.352
data/suite_500/QF_BV/Sage2/bench_3397.smt2,z3::z3_bv_default,9.369
data/suite_500/QF_BV/Sage2/bench_3397.smt2,z3::z3_bv_eager,9.445
data/suite_500/QF_BV/Sage2/bench_5496.smt2,cvc5::cvc5_bv_default,4.875
data/suite_500/QF_BV/Sage2/bench_5496.smt2,cvc5::cvc5_bv_eager,5.207
data/suite_500/QF_BV/Sage2/bench_5496.smt2,z3::z3_bv_default,0.36
data/suite_500/QF_BV/Sage2/bench_5496.smt2,z3::z3_bv_eager,0.349
data/suite_500/QF_BV/Sage2/bench_7739.smt2,cvc5::cvc5_bv_default,13.091
data/suite_500/QF_BV/Sage2/bench_7739.smt2,cvc5::cvc5_bv_eager,12.701
data/suite_500/QF_BV/Sage2/bench_7739.smt2,z3::z3_bv_default,0.052
data/suite_500/QF_BV/Sage2/bench_7739.smt2,z3::z3_bv_eager,0.043
data/suite_500/QF_BV/Sage2/bench_7792.smt2,cvc5::cvc5_bv_default,22.354
data/suite_500/QF_BV/Sage2/bench_7792.smt2,cvc5::cvc5_bv_eager,23.249
data/suite_500/QF_BV/Sage2/bench_7792.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/Sage2/bench_7792.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_8380.smt2,cvc5::cvc5_bv_default,1.815
data/suite_500/QF_BV/Sage2/bench_8380.smt2,cvc5::cvc5_bv_eager,1.807
data/suite_500/QF_BV/Sage2/bench_8380.smt2,z3::z3_bv_default,0.12
data/suite_500/QF_BV/Sage2/bench_8380.smt2,z3::z3_bv_eager,0.126
data/suite_500/QF_BV/Sage2/bench_8888.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/Sage2/bench_8888.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/Sage2/bench_8888.smt2,z3::z3_bv_default,56.826
data/suite_500/QF_BV/Sage2/bench_8888.smt2,z3::z3_bv_eager,58.024
data/suite_500/QF_BV/Sage2/bench_9396.smt2,cvc5::cvc5_bv_default,1.905
data/suite_500/QF_BV/Sage2/bench_9396.smt2,cvc5::cvc5_bv_eager,1.916
data/suite_500/QF_BV/Sage2/bench_9396.smt2,z3::z3_bv_default,0.621
data/suite_500/QF_BV/Sage2/bench_9396.smt2,z3::z3_bv_eager,0.619
data/suite_500/QF_BV/Sage2/bench_9833.smt2,cvc5::cvc5_bv_default,4.008
data/suite_500/QF_BV/Sage2/bench_9833.smt2,cvc5::cvc5_bv_eager,3.993
data/suite_500/QF_BV/Sage2/bench_9833.smt2,z3::z3_bv_default,8.7
data/suite_500/QF_BV/Sage2/bench_9833.smt2,z3::z3_bv_eager,8.758
data/suite_500/QF_BV/asp/15.6.schur.lp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/15.6.schur.lp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/15.6.schur.lp.smt2,z3::z3_bv_default,23.929
data/suite_500/QF_BV/asp/15.6.schur.lp.smt2,z3::z3_bv_eager,24.227
data/suite_500/QF_BV/asp/156.48.1960.36.1721259656.dat.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721259656.dat.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721259656.dat.smt2,z3::z3_bv_default,6.604
data/suite_500/QF_BV/asp/156.48.1960.36.1721259656.dat.smt2,z3::z3_bv_eager,8.555
data/suite_500/QF_BV/asp/156.48.1960.36.1721315836.dat.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721315836.dat.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721315836.dat.smt2,z3::z3_bv_default,36.588
data/suite_500/QF_BV/asp/156.48.1960.36.1721315836.dat.smt2,z3::z3_bv_eager,37.436
data/suite_500/QF_BV/asp/156.48.1960.36.1721327521.dat.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721327521.dat.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/156.48.1960.36.1721327521.dat.smt2,z3::z3_bv_default,1.599
data/suite_500/QF_BV/asp/156.48.1960.36.1721327521.dat.smt2,z3::z3_bv_eager,2.394
data/suite_500/QF_BV/asp/20.11.schur.lp.smt2,cvc5::cvc5_bv_default,20.028
data/suite_500/QF_BV/asp/20.11.schur.lp.smt2,cvc5::cvc5_bv_eager,21.092
data/suite_500/QF_BV/asp/20.11.schur.lp.smt2,z3::z3_bv_default,4.972
data/suite_500/QF_BV/asp/20.11.schur.lp.smt2,z3::z3_bv_eager,5.091
data/suite_500/QF_BV/asp/disjunctiveScheduling.in8.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/disjunctiveScheduling.in8.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/disjunctiveScheduling.in8.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/disjunctiveScheduling.in8.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/duthen-990602.37.steps.13.asp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/duthen-990602.37.steps.13.asp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/duthen-990602.37.steps.13.asp.smt2,z3::z3_bv_default,40.981
data/suite_500/QF_BV/asp/duthen-990602.37.steps.13.asp.smt2,z3::z3_bv_eager,39.937
data/suite_500/QF_BV/asp/duthen-990602.57.steps.15.asp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/duthen-990602.57.steps.15.asp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/duthen-990602.57.steps.15.asp.smt2,z3::z3_bv_default,8.106
data/suite_500/QF_BV/asp/duthen-990602.57.steps.15.asp.smt2,z3::z3_bv_eager,8.451
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=12.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=12.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=12.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=12.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=9.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=9.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=9.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/edge-matching-width=10-height=10-colours=9.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=130-density=0.1-instance=10.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=130-density=0.1-instance=10.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=130-density=0.1-instance=10.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=130-density=0.1-instance=10.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=145-density=0.1-instance=7.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=145-density=0.1-instance=7.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=145-density=0.1-instance=7.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=145-density=0.1-instance=7.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=150-density=0.1-instance=10.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=150-density=0.1-instance=10.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=150-density=0.1-instance=10.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/graph-colouring-nodes=150-density=0.1-instance=10.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/gryzzles.15.lp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/gryzzles.15.lp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/gryzzles.15.lp.smt2,z3::z3_bv_default,1.023
data/suite_500/QF_BV/asp/gryzzles.15.lp.smt2,z3::z3_bv_eager,1.012
data/suite_500/QF_BV/asp/gryzzles.20.lp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/gryzzles.20.lp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/gryzzles.20.lp.smt2,z3::z3_bv_default,3.013
data/suite_500/QF_BV/asp/gryzzles.20.lp.smt2,z3::z3_bv_eager,3.049
data/suite_500/QF_BV/asp/knightTour.in10.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/knightTour.in10.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/knightTour.in10.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/knightTour.in10.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/laby_21_21_07.lp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/laby_21_21_07.lp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/laby_21_21_07.lp.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/laby_21_21_07.lp.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/maze-generation-width=16-height=16-density=0.01-run=4.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/maze-generation-width=16-height=16-density=0.01-run=4.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/maze-generation-width=16-height=16-density=0.01-run=4.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/maze-generation-width=16-height=16-density=0.01-run=4.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/penrose.34.asp.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/penrose.34.asp.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/penrose.34.asp.smt2,z3::z3_bv_default,1.594
data/suite_500/QF_BV/asp/penrose.34.asp.smt2,z3::z3_bv_eager,2.37
data/suite_500/QF_BV/asp/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/rand_70_250_1235844252_0_k=13_sat.gph.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/rand_70_250_1235844252_0_k=13_sat.gph.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/rand_70_250_1235844252_0_k=13_sat.gph.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/rand_70_250_1235844252_0_k=13_sat.gph.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/solitaire-center-time=32.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/solitaire-center-time=32.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/solitaire-center-time=32.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/solitaire-center-time=32.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/asp/wire.10.x.10.b.5.a.20_unsat.data.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/asp/wire.10.x.10.b.5.a.20_unsat.data.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/asp/wire.10.x.10.b.5.a.20_unsat.data.smt2,z3::z3_bv_default,5.567
data/suite_500/QF_BV/asp/wire.10.x.10.b.5.a.20_unsat.data.smt2,z3::z3_bv_eager,7.378
data/suite_500/QF_BV/asp/xy.12.x.12.r.4.274529373.784913.data_k=4_l=4_sat.gph.smt2,cvc5::cvc5_bv_default,3.437
data/suite_500/QF_BV/asp/xy.12.x.12.r.4.274529373.784913.data_k=4_l=4_sat.gph.smt2,cvc5::cvc5_bv_eager,3.851
data/suite_500/QF_BV/asp/xy.12.x.12.r.4.274529373.784913.data_k=4_l=4_sat.gph.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/asp/xy.12.x.12.r.4.274529373.784913.data_k=4_l=4_sat.gph.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/bruttomesso/ext_con_008_001_0064.smt2,cvc5::cvc5_bv_default,0.008
